"Hidden Layers","Learning Rate","Batch Size","Accuracy"
1,"0.01",4,"0.7973"
1,"0.01",8,"0.8193"
1,"0.01",16,"0.8257"
1,"0.1",4,"0.9303"
1,"0.1",8,"0.9345"
1,"0.1",16,"0.9369"
1,"1.0",4,"0.9485"
1,"1.0",8,"0.9503"
1,"1.0",16,"0.9484"
2,"0.01",4,"0.7508"
2,"0.01",8,"0.8509"
2,"0.01",16,"0.8691"
2,"0.1",4,"0.9296"
2,"0.1",8,"0.9346"
2,"0.1",16,"0.9364"
2,"1.0",4,"0.9494"
2,"1.0",8,"0.9528"
2,"1.0",16,"0.9522"
3,"0.01",4,"0.8448"
3,"0.01",8,"0.8793"
3,"0.01",16,"0.8873"
3,"0.1",4,"0.9275"
3,"0.1",8,"0.9296"
3,"0.1",16,"0.93"
3,"1.0",4,"0.9414"
3,"1.0",8,"0.9485"
3,"1.0",16,"0.9481"
4,"0.01",4,"0.8328"
4,"0.01",8,"0.8745"
4,"0.01",16,"0.8836"
4,"0.1",4,"0.9279"
4,"0.1",8,929
4,"0.1",16,"0.9284"
4,"1.0",4,"0.9371"
4,"1.0",8,"0.9446"
4,"1.0",16,"0.9473"
