Accuracy,Learning Rate,Batch Size,Hidden Neurons,Hidden Layers
0.7534,0.01,4,60,1
0.765,0.01,8,60,1
0.7928,0.01,16,60,1
0.8629,0.1,4,60,1
0.9471,0.1,8,60,1
0.9495,0.1,16,60,1
0.961,1.0,4,60,1
0.9612,1.0,8,60,1
0.9602,1.0,16,60,1
0.9034,0.01,4,60,2
0.915,0.01,8,60,2
0.919,0.01,16,60,2
0.94,0.1,4,60,2
0.9403,0.1,8,60,2
0.9394,0.1,16,60,2
0.96,1.0,4,60,2
0.9615,1.0,8,60,2
0.96,1.0,16,60,2
0.8893,0.01,4,60,3
0.9052,0.01,8,60,3
0.9096,0.01,16,60,3
0.9352,0.1,4,60,3
0.9355,0.1,8,60,3
0.9338,0.1,16,60,3
0.9554,1.0,4,60,3
0.96,1.0,8,60,3
0.9583,1.0,16,60,3
0.891,0.01,4,60,4
0.904,0.01,8,60,4
0.9085,0.01,16,60,4
0.9392,0.1,4,60,4
0.9399,0.1,8,60,4
0.9382,0.1,16,60,4
0.9453,1.0,4,60,4
0.9568,1.0,8,60,4
0.9561,1.0,16,60,4
