Accuracy,Learning Rate,Batch Size,Hidden Neurons,Hidden Layers
0.5258,0.01,4,60,1
0.5364,0.01,8,60,1
0.5402,0.01,16,60,1
0.6493,0.1,4,60,1
0.651,0.1,8,60,1
0.6517,0.1,16,60,1
0.7718,1.0,4,60,1
0.7731,1.0,8,60,1
0.7743,1.0,16,60,1
0.7553,0.01,4,60,2
0.7884,0.01,8,60,2
0.7972,0.01,16,60,2
0.8393,0.1,4,60,2
0.8403,0.1,8,60,2
0.8398,0.1,16,60,2
0.9497,1.0,4,60,2
0.9573,1.0,8,60,2
0.9571,1.0,16,60,2
0.774,0.01,4,60,3
0.8555,0.01,8,60,3
0.8733,0.01,16,60,3
0.933,0.1,4,60,3
0.9344,0.1,8,60,3
0.9349,0.1,16,60,3
0.9478,1.0,4,60,3
0.9558,1.0,8,60,3
0.9562,1.0,16,60,3
0.8492,0.01,4,60,4
0.8836,0.01,8,60,4
0.8912,0.01,16,60,4
0.9341,0.1,4,60,4
0.9372,0.1,8,60,4
0.9365,0.1,16,60,4
0.9296,1.0,4,60,4
0.9483,1.0,8,60,4
0.9505,1.0,16,60,4
