,LR,MOM,BS,Epochs,Acc,Time
0,0.01,0.01,16,7,1.0,129.26921129226685
1,0.01,0.01,16,7,1.0,129.26921129226685
2,0.01,0.01,16,7,1.0,129.26921129226685
3,0.01,0.01,16,7,1.0,129.26921129226685
4,0.01,0.01,16,7,1.0,129.26921129226685
5,0.01,0.01,16,7,1.0,129.26921129226685
6,0.01,0.01,16,7,1.0,129.26921129226685
7,0.01,0.01,16,7,1.0,129.26921129226685
8,0.01,0.1,16,19,1.0,320.3995101451874
9,0.01,0.1,16,19,1.0,320.3995101451874
10,0.01,0.1,16,19,1.0,320.3995101451874
11,0.01,0.1,16,19,1.0,320.3995101451874
12,0.01,0.1,16,19,1.0,320.3995101451874
13,0.01,0.1,16,19,1.0,320.3995101451874
14,0.01,0.1,16,19,1.0,320.3995101451874
15,0.01,0.1,16,19,1.0,320.3995101451874
16,0.01,0.1,16,19,1.0,320.3995101451874
17,0.01,0.1,16,19,1.0,320.3995101451874
18,0.01,0.1,16,19,1.0,320.3995101451874
19,0.01,0.1,16,19,1.0,320.3995101451874
20,0.01,0.1,16,19,1.0,320.3995101451874
21,0.01,0.1,16,19,1.0,320.3995101451874
22,0.01,0.1,16,19,1.0,320.3995101451874
23,0.01,0.1,16,19,1.0,320.3995101451874
24,0.01,0.1,16,19,1.0,320.3995101451874
25,0.01,0.1,16,19,1.0,320.3995101451874
26,0.01,0.1,16,19,1.0,320.3995101451874
27,0.01,0.1,16,19,1.0,320.3995101451874
28,0.01,1.0,16,29,0.175,480.50782775878906
29,0.01,1.0,16,29,0.175,480.50782775878906
30,0.01,1.0,16,29,0.175,480.50782775878906
31,0.01,1.0,16,29,0.175,480.50782775878906
32,0.01,1.0,16,29,0.175,480.50782775878906
33,0.01,1.0,16,29,0.175,480.50782775878906
34,0.01,1.0,16,29,0.175,480.50782775878906
35,0.01,1.0,16,29,0.175,480.50782775878906
36,0.01,1.0,16,29,0.175,480.50782775878906
37,0.01,1.0,16,29,0.175,480.50782775878906
38,0.01,1.0,16,29,0.175,480.50782775878906
39,0.01,1.0,16,29,0.175,480.50782775878906
40,0.01,1.0,16,29,0.175,480.50782775878906
41,0.01,1.0,16,29,0.175,480.50782775878906
42,0.01,1.0,16,29,0.175,480.50782775878906
43,0.01,1.0,16,29,0.175,480.50782775878906
44,0.01,1.0,16,29,0.175,480.50782775878906
45,0.01,1.0,16,29,0.175,480.50782775878906
46,0.01,1.0,16,29,0.175,480.50782775878906
47,0.01,1.0,16,29,0.175,480.50782775878906
48,0.01,1.0,16,29,0.175,480.50782775878906
49,0.01,1.0,16,29,0.175,480.50782775878906
50,0.01,1.0,16,29,0.175,480.50782775878906
51,0.01,1.0,16,29,0.175,480.50782775878906
52,0.01,1.0,16,29,0.175,480.50782775878906
53,0.01,1.0,16,29,0.175,480.50782775878906
54,0.01,1.0,16,29,0.175,480.50782775878906
55,0.01,1.0,16,29,0.175,480.50782775878906
56,0.01,1.0,16,29,0.175,480.50782775878906
57,0.01,1.0,16,29,0.175,480.50782775878906
58,0.1,0.01,16,7,1.0,128.76392698287964
59,0.1,0.01,16,7,1.0,128.76392698287964
60,0.1,0.01,16,7,1.0,128.76392698287964
61,0.1,0.01,16,7,1.0,128.76392698287964
62,0.1,0.01,16,7,1.0,128.76392698287964
63,0.1,0.01,16,7,1.0,128.76392698287964
64,0.1,0.01,16,7,1.0,128.76392698287964
65,0.1,0.01,16,7,1.0,128.76392698287964
66,0.1,0.1,16,3,1.0,65.51400971412659
67,0.1,0.1,16,3,1.0,65.51400971412659
68,0.1,0.1,16,3,1.0,65.51400971412659
69,0.1,0.1,16,3,1.0,65.51400971412659
70,0.1,1.0,16,29,0.225,537.35768866539
71,0.1,1.0,16,29,0.225,537.35768866539
72,0.1,1.0,16,29,0.225,537.35768866539
73,0.1,1.0,16,29,0.225,537.35768866539
74,0.1,1.0,16,29,0.225,537.35768866539
75,0.1,1.0,16,29,0.225,537.35768866539
76,0.1,1.0,16,29,0.225,537.35768866539
77,0.1,1.0,16,29,0.225,537.35768866539
78,0.1,1.0,16,29,0.225,537.35768866539
79,0.1,1.0,16,29,0.225,537.35768866539
80,0.1,1.0,16,29,0.225,537.35768866539
81,0.1,1.0,16,29,0.225,537.35768866539
82,0.1,1.0,16,29,0.225,537.35768866539
83,0.1,1.0,16,29,0.225,537.35768866539
84,0.1,1.0,16,29,0.225,537.35768866539
85,0.1,1.0,16,29,0.225,537.35768866539
86,0.1,1.0,16,29,0.225,537.35768866539
87,0.1,1.0,16,29,0.225,537.35768866539
88,0.1,1.0,16,29,0.225,537.35768866539
89,0.1,1.0,16,29,0.225,537.35768866539
90,0.1,1.0,16,29,0.225,537.35768866539
91,0.1,1.0,16,29,0.225,537.35768866539
92,0.1,1.0,16,29,0.225,537.35768866539
93,0.1,1.0,16,29,0.225,537.35768866539
94,0.1,1.0,16,29,0.225,537.35768866539
95,0.1,1.0,16,29,0.225,537.35768866539
96,0.1,1.0,16,29,0.225,537.35768866539
97,0.1,1.0,16,29,0.225,537.35768866539
98,0.1,1.0,16,29,0.225,537.35768866539
99,0.1,1.0,16,29,0.225,537.35768866539
100,1.0,0.01,16,29,0.2,480.4388861656189
101,1.0,0.01,16,29,0.2,480.4388861656189
102,1.0,0.01,16,29,0.2,480.4388861656189
103,1.0,0.01,16,29,0.2,480.4388861656189
104,1.0,0.01,16,29,0.2,480.4388861656189
105,1.0,0.01,16,29,0.2,480.4388861656189
106,1.0,0.01,16,29,0.2,480.4388861656189
107,1.0,0.01,16,29,0.2,480.4388861656189
108,1.0,0.01,16,29,0.2,480.4388861656189
109,1.0,0.01,16,29,0.2,480.4388861656189
