Unnamed: 0,BS,HL,HN,LR,OPTIM,MSE,ACC,REC,PREC,F1,AUROC,AUPR
0,64,1,20,0.000,adam,0.393,0.607,0.601,0.913,0.725,0.669,0.921
1,64,1,20,0.000,SGD,0.408,0.592,0.578,0.918,0.710,0.678,0.923
2,64,1,20,0.001,adam,0.395,0.605,0.600,0.910,0.724,0.659,0.918
3,64,1,20,0.001,SGD,0.430,0.570,0.548,0.922,0.687,0.678,0.923
4,64,1,20,0.010,adam,0.426,0.574,0.557,0.916,0.693,0.661,0.919
5,64,1,20,0.010,SGD,0.397,0.603,0.594,0.916,0.720,0.677,0.923
6,64,1,20,0.100,adam,0.400,0.600,0.593,0.912,0.719,0.661,0.919
7,64,1,20,0.100,SGD,0.411,0.589,0.574,0.920,0.707,0.679,0.923
8,64,1,40,0.000,adam,0.375,0.625,0.634,0.902,0.745,0.643,0.912
9,64,1,40,0.000,SGD,0.405,0.595,0.582,0.918,0.713,0.678,0.923
10,64,1,40,0.001,adam,0.382,0.618,0.620,0.907,0.736,0.653,0.916
11,64,1,40,0.001,SGD,0.403,0.597,0.586,0.918,0.715,0.677,0.923
12,64,1,40,0.010,adam,0.370,0.630,0.640,0.903,0.749,0.646,0.914
13,64,1,40,0.010,SGD,0.408,0.592,0.578,0.919,0.709,0.678,0.924
14,64,1,40,0.100,adam,0.392,0.608,0.605,0.910,0.727,0.659,0.918
15,64,1,40,0.100,SGD,0.406,0.594,0.581,0.918,0.711,0.678,0.924
16,64,2,20,0.000,adam,0.381,0.619,0.617,0.913,0.736,0.670,0.921
17,64,2,20,0.000,SGD,0.404,0.596,0.584,0.918,0.714,0.677,0.923
18,64,2,20,0.001,adam,0.425,0.575,0.557,0.917,0.693,0.666,0.920
19,64,2,20,0.001,SGD,0.412,0.588,0.573,0.919,0.706,0.678,0.923
20,64,2,20,0.010,adam,0.413,0.587,0.576,0.914,0.706,0.665,0.920
21,64,2,20,0.010,SGD,0.419,0.581,0.563,0.920,0.698,0.677,0.923
22,64,2,20,0.100,adam,0.396,0.604,0.599,0.912,0.723,0.664,0.919
23,64,2,20,0.100,SGD,0.411,0.589,0.574,0.919,0.706,0.678,0.923
24,64,2,40,0.000,adam,0.383,0.617,0.622,0.904,0.737,0.644,0.912
25,64,2,40,0.000,SGD,0.418,0.582,0.564,0.920,0.699,0.678,0.923
26,64,2,40,0.001,adam,0.406,0.594,0.588,0.909,0.714,0.651,0.916
27,64,2,40,0.001,SGD,0.406,0.594,0.581,0.918,0.711,0.679,0.924
28,64,2,40,0.010,adam,0.396,0.604,0.603,0.907,0.724,0.645,0.914
29,64,2,40,0.010,SGD,0.403,0.597,0.586,0.917,0.715,0.677,0.923
30,64,2,40,0.100,adam,0.379,0.621,0.627,0.903,0.740,0.642,0.912
31,64,2,40,0.100,SGD,0.405,0.595,0.583,0.918,0.713,0.677,0.923
32,64,3,20,0.000,adam,0.423,0.577,0.560,0.917,0.695,0.667,0.920
33,64,3,20,0.000,SGD,0.411,0.589,0.575,0.918,0.707,0.677,0.923
34,64,3,20,0.001,adam,0.415,0.585,0.573,0.914,0.704,0.662,0.918
35,64,3,20,0.001,SGD,0.405,0.595,0.582,0.918,0.712,0.677,0.923
36,64,3,20,0.010,adam,0.415,0.585,0.573,0.912,0.704,0.659,0.918
37,64,3,20,0.010,SGD,0.406,0.594,0.581,0.918,0.711,0.678,0.924
38,64,3,20,0.100,adam,0.405,0.595,0.587,0.912,0.714,0.660,0.918
39,64,3,20,0.100,SGD,0.400,0.600,0.589,0.917,0.717,0.677,0.923
40,64,3,40,0.000,adam,0.400,0.600,0.594,0.911,0.719,0.657,0.917
41,64,3,40,0.000,SGD,0.410,0.590,0.575,0.919,0.707,0.678,0.924
42,64,3,40,0.001,adam,0.404,0.596,0.591,0.908,0.716,0.645,0.912
43,64,3,40,0.001,SGD,0.417,0.583,0.566,0.919,0.701,0.678,0.923
44,64,3,40,0.010,adam,0.394,0.606,0.606,0.906,0.726,0.642,0.910
45,64,3,40,0.010,SGD,0.404,0.596,0.583,0.918,0.713,0.678,0.923
46,64,3,40,0.100,adam,0.390,0.610,0.613,0.904,0.730,0.639,0.910
47,64,3,40,0.100,SGD,0.408,0.592,0.578,0.918,0.710,0.676,0.923
48,256,1,20,0.000,adam,0.378,0.622,0.624,0.908,0.740,0.662,0.918
49,256,1,20,0.000,SGD,0.414,0.586,0.570,0.919,0.704,0.677,0.923
50,256,1,20,0.001,adam,0.395,0.605,0.601,0.911,0.724,0.663,0.919
51,256,1,20,0.001,SGD,0.402,0.598,0.586,0.918,0.715,0.678,0.924
52,256,1,20,0.010,adam,0.391,0.609,0.606,0.911,0.728,0.661,0.919
53,256,1,20,0.010,SGD,0.407,0.593,0.579,0.919,0.710,0.678,0.923
54,256,1,20,0.100,adam,0.385,0.615,0.614,0.910,0.733,0.660,0.918
55,256,1,20,0.100,SGD,0.409,0.591,0.576,0.919,0.708,0.677,0.923
56,256,1,40,0.000,adam,0.386,0.614,0.618,0.903,0.734,0.640,0.912
57,256,1,40,0.000,SGD,0.419,0.581,0.564,0.918,0.699,0.675,0.923
58,256,1,40,0.001,adam,0.382,0.618,0.623,0.904,0.738,0.647,0.914
59,256,1,40,0.001,SGD,0.408,0.592,0.578,0.919,0.710,0.677,0.923
60,256,1,40,0.010,adam,0.373,0.627,0.635,0.904,0.746,0.647,0.914
61,256,1,40,0.010,SGD,0.407,0.593,0.579,0.918,0.711,0.678,0.923
62,256,1,40,0.100,adam,0.371,0.629,0.636,0.906,0.747,0.654,0.916
63,256,1,40,0.100,SGD,0.420,0.580,0.562,0.919,0.698,0.678,0.923
64,256,2,20,0.000,adam,0.404,0.596,0.588,0.912,0.715,0.663,0.919
65,256,2,20,0.000,SGD,0.417,0.583,0.566,0.920,0.700,0.676,0.923
66,256,2,20,0.001,adam,0.392,0.608,0.605,0.910,0.727,0.663,0.919
67,256,2,20,0.001,SGD,0.412,0.588,0.572,0.919,0.705,0.678,0.923
68,256,2,20,0.010,adam,0.412,0.588,0.575,0.915,0.706,0.668,0.921
69,256,2,20,0.010,SGD,0.409,0.591,0.578,0.917,0.709,0.676,0.923
70,256,2,20,0.100,adam,0.416,0.584,0.569,0.916,0.702,0.667,0.920
71,256,2,20,0.100,SGD,0.401,0.599,0.588,0.917,0.716,0.677,0.923
