Unnamed: 0,BS,HL,HN,LR,OPTIM,MSE,ACC,REC,PREC,F1,AUROC,AUPR
0,1024,1,20,0.000,adam,0.448,0.552,0.541,0.900,0.675,0.618,0.905
1,1024,1,20,0.000,SGD,0.384,0.616,0.636,0.887,0.741,0.598,0.897
2,1024,1,20,0.001,adam,0.441,0.559,0.550,0.898,0.682,0.618,0.905
3,1024,1,20,0.001,SGD,0.369,0.631,0.658,0.884,0.754,0.589,0.894
4,1024,1,20,0.010,adam,0.401,0.599,0.606,0.896,0.723,0.620,0.906
5,1024,1,20,0.010,SGD,0.344,0.656,0.699,0.877,0.778,0.565,0.883
6,1024,1,20,0.100,adam,0.421,0.579,0.577,0.898,0.703,0.621,0.906
7,1024,1,20,0.100,SGD,0.374,0.626,0.653,0.883,0.751,0.587,0.893
8,1024,1,40,0.000,adam,0.388,0.612,0.622,0.896,0.735,0.622,0.906
9,1024,1,40,0.000,SGD,0.370,0.630,0.657,0.883,0.754,0.588,0.894
10,1024,1,40,0.001,adam,0.410,0.590,0.593,0.897,0.714,0.620,0.905
11,1024,1,40,0.001,SGD,0.359,0.641,0.675,0.881,0.765,0.578,0.888
12,1024,1,40,0.010,adam,0.426,0.574,0.570,0.898,0.697,0.620,0.906
13,1024,1,40,0.010,SGD,0.366,0.634,0.661,0.885,0.757,0.594,0.897
14,1024,1,40,0.100,adam,0.466,0.534,0.516,0.901,0.656,0.620,0.906
15,1024,1,40,0.100,SGD,0.376,0.624,0.648,0.885,0.748,0.591,0.896
16,1024,2,20,0.000,adam,0.494,0.506,0.479,0.903,0.626,0.617,0.905
17,1024,2,20,0.000,SGD,0.348,0.652,0.693,0.878,0.774,0.569,0.886
18,1024,2,20,0.001,adam,0.395,0.605,0.613,0.895,0.728,0.619,0.905
19,1024,2,20,0.001,SGD,0.368,0.632,0.662,0.882,0.756,0.584,0.892
20,1024,2,20,0.010,adam,0.435,0.565,0.559,0.898,0.689,0.620,0.906
21,1024,2,20,0.010,SGD,0.341,0.659,0.701,0.879,0.780,0.573,0.886
22,1024,2,20,0.100,adam,0.370,0.630,0.648,0.894,0.751,0.620,0.906
23,1024,2,20,0.100,SGD,0.337,0.663,0.712,0.875,0.785,0.556,0.879
24,1024,2,40,0.000,adam,0.489,0.511,0.485,0.903,0.631,0.620,0.906
25,1024,2,40,0.000,SGD,0.334,0.666,0.708,0.881,0.785,0.585,0.892
26,1024,2,40,0.001,adam,0.445,0.555,0.544,0.900,0.678,0.622,0.906
27,1024,2,40,0.001,SGD,0.389,0.611,0.628,0.887,0.736,0.596,0.897
28,1024,2,40,0.010,adam,0.383,0.617,0.629,0.895,0.739,0.623,0.907
29,1024,2,40,0.010,SGD,0.418,0.582,0.587,0.891,0.708,0.602,0.899
30,1024,2,40,0.100,adam,0.426,0.574,0.571,0.898,0.698,0.620,0.906
31,1024,2,40,0.100,SGD,0.369,0.631,0.659,0.884,0.755,0.588,0.894
32,1024,3,20,0.000,adam,0.503,0.497,0.466,0.904,0.615,0.619,0.906
33,1024,3,20,0.000,SGD,0.363,0.637,0.670,0.881,0.761,0.575,0.889
34,1024,3,20,0.001,adam,0.413,0.587,0.590,0.895,0.712,0.615,0.905
35,1024,3,20,0.001,SGD,0.377,0.623,0.648,0.883,0.748,0.584,0.891
36,1024,3,20,0.010,adam,0.398,0.602,0.609,0.896,0.725,0.619,0.906
37,1024,3,20,0.010,SGD,0.385,0.615,0.635,0.885,0.740,0.591,0.895
38,1024,3,20,0.100,adam,0.463,0.537,0.521,0.901,0.660,0.620,0.906
39,1024,3,20,0.100,SGD,0.357,0.643,0.676,0.883,0.765,0.585,0.892
40,1024,3,40,0.000,adam,0.403,0.597,0.602,0.896,0.720,0.620,0.906
41,1024,3,40,0.000,SGD,0.351,0.649,0.686,0.880,0.771,0.581,0.890
42,1024,3,40,0.001,adam,0.390,0.610,0.619,0.896,0.732,0.623,0.907
43,1024,3,40,0.001,SGD,0.358,0.642,0.675,0.882,0.764,0.582,0.891
44,1024,3,40,0.010,adam,0.393,0.607,0.617,0.895,0.730,0.620,0.906
45,1024,3,40,0.010,SGD,0.342,0.658,0.698,0.881,0.779,0.582,0.891
46,1024,3,40,0.100,adam,0.353,0.647,0.671,0.893,0.767,0.623,0.906
47,1024,3,40,0.100,SGD,0.346,0.654,0.691,0.882,0.775,0.585,0.892
48,2048,1,20,0.000,adam,0.385,0.615,0.629,0.893,0.738,0.617,0.905
49,2048,1,20,0.000,SGD,0.355,0.645,0.683,0.878,0.768,0.563,0.882
50,2048,1,20,0.001,adam,0.384,0.616,0.629,0.894,0.738,0.620,0.906
51,2048,1,20,0.001,SGD,0.381,0.619,0.642,0.884,0.744,0.589,0.895
52,2048,1,20,0.010,adam,0.383,0.617,0.630,0.894,0.739,0.619,0.905
53,2048,1,20,0.010,SGD,0.363,0.637,0.666,0.884,0.760,0.584,0.891
54,2048,1,20,0.100,adam,0.430,0.570,0.565,0.898,0.694,0.620,0.906
55,2048,1,20,0.100,SGD,0.353,0.647,0.691,0.874,0.771,0.546,0.874
56,2048,1,40,0.000,adam,0.459,0.541,0.526,0.901,0.664,0.620,0.906
57,2048,1,40,0.000,SGD,0.370,0.630,0.655,0.885,0.753,0.594,0.897
58,2048,1,40,0.001,adam,0.445,0.555,0.545,0.900,0.679,0.620,0.906
59,2048,1,40,0.001,SGD,0.324,0.676,0.723,0.879,0.794,0.576,0.887
60,2048,1,40,0.010,adam,0.405,0.595,0.601,0.895,0.719,0.618,0.905
61,2048,1,40,0.010,SGD,0.352,0.648,0.689,0.876,0.771,0.553,0.879
62,2048,1,40,0.100,adam,0.410,0.590,0.592,0.898,0.714,0.624,0.907
63,2048,1,40,0.100,SGD,0.349,0.651,0.689,0.880,0.773,0.579,0.890
64,2048,2,20,0.000,adam,0.383,0.617,0.631,0.894,0.740,0.620,0.906
